date,close,high,low,open,pre,change,rate,volume,amount
2019/11/21,3889.598,3901.8262,3875.9682,3894.539,3907.8641,-18.2661,-0.4674,6913053800,1.04147769298e+11
2019/11/22,3849.9948,3918.8385,3833.5033,3894.1742,3889.598,-39.6032,-1.0182,9104263900,1.4698116209e+11
2019/11/25,3878.2061,3878.2507,3839.4201,3850.966,3849.9948,28.2113,0.7328,10606628900,1.40851076272e+11
2019/11/26,3891.6533,3899.1097,3869.5948,3893.4349,3878.2061,13.4472,0.3467,11151353700,1.40213633065e+11
2019/11/27,3875.6186,3889.9783,3862.7011,3883.429,3891.6533,-16.0347,-0.412,7643730500,1.07238822033e+11
2019/11/28,3862.3029,3887.6903,3852.0105,3877.9012,3875.6186,-13.3157,-0.3436,6523011900,87081788912
2019/11/29,3828.6706,3861.6584,3804.8291,3857.1883,3862.3029,-33.6323,-0.8708,7414433100,1.16200556869e+11
2019/12/2,3836.0589,3854.7509,3829.3126,3835.5128,3828.6706,7.3883,0.193,7741217300,1.09992592541e+11
2019/12/3,3851.0873,3851.1205,3811.6281,3829.212,3836.0589,15.0284,0.3918,7361124000,1.08703714965e+11
2019/12/4,3849.819,3852.9922,3831.0747,3841.6627,3851.0873,-1.2683,-0.0329,7968338500,1.09646342796e+11
2019/12/5,3879.3638,3883.4031,3859.8223,3863.6086,3849.819,29.5448,0.7674,8905119300,1.29357592812e+11
2019/12/6,3902.3853,3902.3853,3878.7002,3885.0582,3879.3638,23.0215,0.5934,7864888700,1.16424775802e+11
2019/12/9,3895.4468,3911.9682,3885.2507,3909.5297,3902.3853,-6.9385,-0.1778,9535380600,1.30873098246e+11
2019/12/10,3900.3843,3900.959,3882.0877,3886.444,3895.4468,4.9375,0.1268,8626292800,1.21118412751e+11
2019/12/11,3902.7492,3909.3854,3890.341,3907.1592,3900.3843,2.3649,0.0606,9976548000,1.27690403434e+11
2019/12/12,3891.0242,3908.4537,3886.1188,3908.4537,3902.7492,-11.725,-0.3004,8470833000,1.17874313734e+11
