date,close,open,high,low,high_rate,low_rate,d_close,d_open,d_high,d_low
2020/3/18,3636.26,3729.69,3775.85,3636.26,0.012376364,-0.025050339,-73.42,-10.09,-11.04,17.95
2020/3/19,3589.09,3623.79,3647.99,3503.19,0.006678091,-0.033280074,-47.17,-105.9,-127.86,-133.07
2020/3/20,3653.22,3629.51,3663.95,3588.78,0.009488884,-0.0112219,64.13,5.72,15.96,85.59
2020/3/23,3530.31,3542.68,3585.8,3523.79,0.012171576,-0.005332121,-122.91,-86.83,-78.15,-64.99
2020/3/24,3625.11,3598.65,3627.76,3545.45,0.008089145,-0.014783322,94.8,55.97,41.96,21.66
2020/3/25,3722.52,3711.48,3732.65,3685.99,0.005703924,-0.00686788,97.41,112.83,104.89,140.54
2020/3/26,3698.05,3692.61,3736.25,3681.27,0.011818199,-0.003070999,-24.47,-18.87,3.6,-4.72
2020/3/27,3710.06,3746.39,3758.78,3709.92,0.003307184,-0.009734705,12.01,53.78,22.53,28.65
2020/3/30,3674.11,3657.46,3690.64,3637.59,0.00907187,-0.005432732,-35.95,-88.93,-68.14,-72.33
2020/3/31,3686.16,3708.14,3716.07,3676.2,0.002138538,-0.008613483,12.05,50.68,25.43,38.61
2020/4/1,3675.08,3682.3,3731.78,3670.97,0.013437254,-0.003076881,-11.08,-25.84,15.71,-5.23
2020/4/2,3734.53,3656.32,3734.53,3652.32,0.02139036,-0.001093996,59.45,-25.98,2.75,-18.65
2020/4/3,3713.22,3721.48,3738.83,3698.98,0.004662124,-0.006045982,-21.31,65.16,4.3,46.66
2020/4/7,3798.02,3779.91,3803.63,3772.21,0.006275282,-0.002037086,84.8,58.43,64.8,73.23
2020/4/8,3780.34,3776.42,3793,3767.29,0.004390401,-0.002417634,-17.68,-3.49,-10.63,-4.92
2020/4/9,3792.81,3798.49,3801.72,3785.31,0.000850338,-0.0034698,12.47,22.07,8.72,18.02
2020/4/10,3769.18,3794.84,3824.74,3758.96,0.00787912,-0.009454944,-23.63,-3.65,23.02,-26.35
2020/4/13,3753.26,3751.71,3769.88,3740.19,0.004843125,-0.0030706,-15.92,-43.13,-54.86,-18.77
2020/4/14,3825.7,3777.83,3825.76,3764.98,0.012687178,-0.003401424,72.44,26.12,55.88,24.79
2020/4/15,3797.36,3820.85,3829.8,3793.44,0.002342411,-0.007173796,-28.34,43.02,4.04,28.46
2020/4/16,3802.38,3777.8,3807.36,3774.56,0.00782466,-0.000857642,5.02,-43.05,-22.44,-18.88
2020/4/17,3839.49,3831.92,3863.45,3821.42,0.008228251,-0.002740141,37.11,54.12,56.09,46.86
2020/4/20,3853.46,3845.46,3853.8,3831.55,0.002168791,-0.003617253,13.97,13.54,-9.65,10.13
2020/4/21,3808.05,3838.23,3838.23,3780,0,-0.015171055,-45.41,-7.23,-15.57,-51.55
2020/4/22,3839.38,3789.13,3839.38,3782.21,0.013261619,-0.001826277,31.33,-49.1,1.15,2.21
2020/4/23,3829.75,3851.91,3857.47,3826.56,0.00144344,-0.006581151,-9.63,62.78,18.09,44.35
2020/4/24,3796.97,3826.31,3827.21,3787.07,0.000235214,-0.010255311,-32.78,-25.6,-30.26,-39.49
2020/4/27,3822.77,3808.02,3842.87,3793.77,0.009151738,-0.003742102,25.8,-18.29,15.66,6.7
2020/4/28,3849.15,3835.35,3859.68,3768.2,0.006343619,-0.01750818,26.38,27.33,16.81,-25.57
2020/4/29,3867.03,3837.51,3880.74,3833.72,0.011265117,-0.00098762,17.88,2.16,21.06,65.52
2020/4/30,3912.58,3880.41,3921.7,3880.41,0.010640628,0,45.55,42.9,40.96,46.69
2020/5/6,3936.25,3867.26,3937.69,3865.99,0.018211861,-0.000328398,23.67,-13.15,15.99,-14.42
2020/5/7,3924.89,3937.59,3941.48,3915.9,0.000987914,-0.005508446,-11.36,70.33,3.79,49.91
2020/5/8,3963.62,3943,3979.66,3935.98,0.009297489,-0.00178037,38.73,5.41,38.18,20.08
2020/5/11,3960.18,3974.76,3998.1,3944.5,0.005872053,-0.007613038,-3.44,31.76,18.44,8.52
2020/5/12,3960.24,3961.34,3970.11,3930.21,0.002213897,-0.007858452,0.06,-13.42,-27.99,-14.29
2020/5/13,3968.25,3946.64,3972.53,3932.57,0.006560011,-0.003565058,8.01,-14.7,2.42,2.36
2020/5/14,3925.22,3952.2,3952.2,3924.05,0,-0.007122615,-43.03,5.56,-20.33,-8.52
2020/5/15,3912.82,3941.13,3945.2,3907.4,0.001032699,-0.008558459,-12.4,-11.07,-7,-16.65
2020/5/18,3922.91,3914.66,3946.43,3898.4,0.008115647,-0.004153617,10.09,-26.47,1.23,-9
2020/5/19,3956.25,3963.78,3966.85,3944.07,0.000774513,-0.004972526,33.34,49.12,20.42,45.67
2020/5/20,3935.22,3955.71,3955.71,3923.92,0,-0.008036484,-21.03,-8.07,-11.14,-20.15
2020/5/21,3913.79,3950.6,3951.74,3907.58,0.000288564,-0.010889485,-21.43,-5.11,-3.97,-16.34
2020/5/22,3824.06,3907.58,3907.58,3818.15,0,-0.022886288,-89.73,-43.02,-44.16,-89.43
2020/5/25,3829.32,3828.32,3835.63,3800.18,0.001909454,-0.007350483,5.26,-79.26,-71.95,-17.97
2020/5/26,3872.77,3850,3874.75,3844.48,0.006428571,-0.001433766,43.45,21.68,39.12,44.3
2020/5/27,3845.61,3873.7,3873.7,3838.42,0,-0.009107572,-27.16,23.7,-1.05,-6.06
2020/5/28,3856.63,3848.49,3885.42,3818.43,0.009595971,-0.007810856,11.02,-25.21,11.72,-19.99
2020/5/29,3867.02,3838.38,3872.3,3830.42,0.008837061,-0.002073792,10.39,-10.11,-13.12,11.99
2020/6/1,3971.34,3901.73,3976.32,3901.73,0.019117161,0,104.32,63.35,104.02,71.31
2020/6/2,3983.57,3969.95,3991.78,3958.98,0.00549881,-0.002763259,12.23,68.22,15.46,57.25
2020/6/3,3983.65,4001.17,4018.68,3982.93,0.00437622,-0.004558667,0.08,31.22,26.9,23.95
2020/6/4,3982.19,3998.16,3999.81,3968.57,0.00041269,-0.007400904,-1.46,-3.01,-18.87,-14.36
2020/6/5,4001.25,3988.22,4001.25,3967.93,0.003267122,-0.005087483,19.06,-9.94,1.44,-0.64
2020/6/8,4021.95,4023.61,4050.22,4016.1,0.006613464,-0.001866483,20.7,35.39,48.97,48.17
2020/6/9,4047.03,4027.56,4052.16,4016.34,0.006107916,-0.002785806,25.08,3.95,1.94,0.24
2020/6/10,4039.71,4046.23,4046.23,4024.42,0,-0.005390203,-7.32,18.67,-5.93,8.08
2020/6/11,3995.88,4031.74,4043.01,3979.75,0.002795319,-0.012895177,-43.83,-14.49,-3.22,-44.67
2020/6/12,4003.08,3931.62,4011.06,3927.25,0.020205412,-0.001111501,7.2,-100.12,-31.95,-52.5
2020/6/15,3954.99,3982.97,4007.14,3954.99,0.006068336,-0.007024909,-48.09,51.35,-3.92,27.74
2020/6/16,4014.57,3995.58,4014.57,3987.86,0.004752752,-0.001932135,59.58,12.61,7.43,32.87
2020/6/17,4017.59,4018.61,4018.61,3992.13,0,-0.006589343,3.02,23.03,4.04,4.27
2020/6/18,4044.38,4009.78,4047.56,4000.9,0.009421963,-0.002214585,26.79,-8.83,28.95,8.77
2020/6/19,4098.71,4047.05,4109.36,4043.49,0.0153964,-0.000879653,54.33,37.27,61.8,42.59
2020/6/22,4102.05,4097.51,4126.94,4088.78,0.007182411,-0.002130562,3.34,50.46,17.58,45.29
2020/6/23,4121.79,4098.04,4124.73,4080.75,0.00651287,-0.00421909,19.74,0.53,-2.21,-8.03
2020/6/24,4138.99,4128.1,4144.68,4123.36,0.004016376,-0.001148228,17.2,30.06,19.95,42.61
2020/6/29,4109.72,4127.93,4137.37,4092.54,0.00228686,-0.008573304,-29.27,-0.17,-7.31,-30.82
2020/6/30,4163.96,4130,4174.42,4129.78,0.010755448,-5.33E-05,54.24,2.07,37.05,37.24
2020/7/1,4247.78,4172.64,4247.78,4163.5,0.018007784,-0.00219046,83.82,42.64,73.36,33.72
2020/7/2,4335.84,4239.41,4340.1,4238.12,0.023750946,-0.000304288,88.06,66.77,92.32,74.62
2020/7/3,4419.6,4353.19,4419.6,4348.45,0.015255479,-0.001088857,83.76,113.78,79.5,110.33
2020/7/6,4670.09,4465.81,4678.11,4465.81,0.047538968,0,250.49,112.62,258.51,117.36
2020/7/7,4698.13,4739.61,4796.32,4688.06,0.011965119,-0.010876422,28.04,273.8,118.21,222.25
2020/7/8,4774,4692.86,4803.36,4670.65,0.023546409,-0.004732722,75.87,-46.75,7.04,-17.41
2020/7/9,4840.77,4770.08,4854.12,4757.29,0.017618153,-0.002681297,66.77,77.22,50.76,86.64
2020/7/10,4753.13,4796.09,4821.37,4734.47,0.00527096,-0.012847966,-87.64,26.01,-32.75,-22.82
2020/7/13,4852.96,4742.37,4878.08,4741.87,0.028616493,-0.000105433,99.83,-53.72,56.71,7.4
2020/7/14,4806.69,4836.17,4860.44,4729.93,0.005018434,-0.021967797,-46.27,93.8,-17.64,-11.94
2020/7/15,4744.47,4821.52,4837.48,4723.36,0.003310159,-0.020358725,-62.22,-14.65,-22.96,-6.57
2020/7/16,4516.25,4741.53,4772.56,4513.65,0.006544301,-0.048060436,-228.22,-79.99,-64.92,-209.71
2020/7/17,4544.7,4524.77,4601.37,4485.82,0.016929037,-0.008608172,28.45,-216.76,-171.19,-27.83
2020/7/20,4680.3,4597.2,4681.94,4534.23,0.018432959,-0.013697468,135.6,72.43,80.57,48.41
2020/7/21,4691.04,4697.5,4714.29,4661.44,0.003574242,-0.007676424,10.74,100.3,32.35,127.21
2020/7/22,4714.45,4682.66,4790.45,4675.35,0.023018968,-0.001561079,23.41,-14.84,76.16,13.91
2020/7/23,4712.44,4668.74,4731.4,4607.66,0.01342118,-0.013082759,-2.01,-13.92,-59.05,-67.69
2020/7/24,4505.59,4679.03,4691.7,4479.39,0.002707826,-0.042666963,-206.85,10.29,-39.7,-128.27
2020/7/27,4528.45,4535.01,4558.12,4482.44,0.005095909,-0.011592036,22.86,-144.02,-133.58,3.05
2020/7/28,4568.26,4567.67,4590.25,4537.69,0.004943439,-0.006563521,39.81,32.66,32.13,55.25
2020/7/29,4679.01,4559.16,4680.56,4548.85,0.026627712,-0.002261381,110.75,-8.51,90.31,11.16
2020/7/30,4656.15,4689.76,4704.63,4649.77,0.003170738,-0.008527089,-22.86,130.6,24.07,100.92
2020/7/31,4695.05,4652.18,4741.81,4621.96,0.019266236,-0.006495879,38.9,-37.58,37.18,-27.81
2020/8/3,4771.31,4735.9,4771.37,4720.02,0.007489601,-0.003353111,76.26,83.72,29.56,98.06
2020/8/4,4775.8,4778.49,4807.08,4747.77,0.005983062,-0.006428809,4.49,42.59,35.71,27.75
2020/8/5,4777.11,4761.76,4786.7,4711.27,0.005237559,-0.010603222,1.31,-16.73,-20.38,-36.5
2020/8/6,4762.76,4779.24,4791.86,4691.16,0.002640587,-0.018429708,-14.35,17.48,5.16,-20.11
2020/8/7,4707.93,4742.29,4749.02,4637.84,0.001419146,-0.022025224,-54.83,-36.95,-42.84,-53.32
2020/8/10,4724.87,4681.76,4757.66,4646.29,0.016211852,-0.007576211,16.94,-60.53,8.64,8.45
2020/8/11,4681.78,4730.38,4791.53,4674.86,0.01292708,-0.011736901,-43.09,48.62,33.87,28.57
2020/8/12,4647.64,4668.89,4681.62,4566.27,0.002726558,-0.021979528,-34.14,-61.49,-109.91,-108.59
2020/8/13,4635.71,4666.49,4671.77,4626.1,0.001131471,-0.008655328,-11.93,-2.4,-9.85,59.83
2020/8/14,4704.63,4627.61,4708.07,4617.63,0.017386945,-0.002156621,68.92,-38.88,36.3,-8.47
2020/8/17,4815.23,4727.12,4838.09,4721.36,0.023475182,-0.001218501,110.6,99.51,130.02,103.73
2020/8/18,4812.76,4816.57,4825.39,4788.83,0.001831179,-0.005759285,-2.47,89.45,-12.7,67.47
2020/8/19,4740.68,4804.67,4809.05,4738.01,0.000911613,-0.013874002,-72.08,-11.9,-16.34,-50.82
2020/8/20,4679.15,4708.13,4721.44,4662.8,0.002827025,-0.009628026,-61.53,-96.54,-87.61,-75.21
2020/8/21,4718.84,4717.79,4739.48,4684.81,0.004597492,-0.006990561,39.69,9.66,18.04,22.01
2020/8/24,4755.85,4746.4,4769.47,4716.61,0.004860526,-0.006276336,37.01,28.61,29.99,31.8
2020/8/25,4761.95,4769.21,4802.41,4746.31,0.006961321,-0.004801634,6.1,22.81,32.94,29.7
2020/8/26,4706.13,4761.72,4786.42,4689.88,0.005187201,-0.015086985,-55.82,-7.49,-15.99,-56.43
2020/8/27,4731.35,4718.06,4731.94,4679.36,0.002941887,-0.008202524,25.22,-43.66,-54.48,-10.52
2020/8/28,4844.27,4727.29,4850.49,4719.35,0.026061443,-0.001679609,112.92,9.23,118.55,39.99
2020/8/31,4816.22,4870.93,4901.21,4816.21,0.006216472,-0.011233994,-28.05,143.64,50.72,96.86
2020/9/1,4842.12,4803.39,4842.13,4791.78,0.008065137,-0.002417043,25.9,-67.54,-59.08,-24.43
2020/9/2,4843.89,4859.08,4863.55,4797.52,0.000919927,-0.012669065,1.77,55.69,21.42,5.74
2020/9/3,4817.1,4841.5,4877.01,4800.06,0.007334504,-0.008559331,-26.79,-17.58,13.46,2.54
2020/9/4,4770.22,4737.24,4778.2,4726.56,0.008646385,-0.002254477,-46.88,-104.26,-98.81,-73.5
2020/9/7,4669.37,4759.52,4789.3,4655.56,0.006256933,-0.021842539,-100.85,22.28,11.1,-71
2020/9/8,4694.39,4683.83,4707.9,4639.05,0.005138957,-0.009560552,25.02,-75.69,-81.4,-16.51
2020/9/9,4584.59,4634.25,4645.2,4558.03,0.002362842,-0.016447106,-109.8,-49.58,-62.7,-81.02
2020/9/10,4581.98,4632.1,4647.75,4572.21,0.003378597,-0.012929341,-2.61,-2.15,2.55,14.18
2020/9/11,4627.28,4572.26,4630.88,4563.11,0.012820793,-0.002001199,45.3,-59.84,-16.87,-9.1
2020/9/14,4651.05,4652.05,4666.99,4625.99,0.003211487,-0.005601831,23.77,79.79,36.11,62.88
2020/9/15,4688.48,4649.45,4691.5,4630.54,0.00904408,-0.004067148,37.43,-2.6,24.51,4.55
2020/9/16,4657.36,4683.01,4690.68,4638.46,0.001637835,-0.009513112,-31.12,33.56,-0.82,7.92
2020/9/17,4632.71,4642.05,4664.95,4601.64,0.004933165,-0.008705206,-24.65,-40.96,-25.73,-36.82
2020/9/18,4737.09,4636.64,4737.8,4631.7,0.021817523,-0.001065427,104.38,-5.41,72.85,30.06
